0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0
-0.04437438,-0.037038814,-0.026494564,-0.028418401,0.005629284,-0.007129015,-0.033943627,-0.050743103,-0.04019244,-0.039425366,-0.05088952,-0.028095804,-0.01914421,-0.027240818,-0.004758731,-0.01879843,-0.003718348,-0.018463152,-0.026345955,-0.032489758,-0.01608593,-0.016707722,-0.016711306,-0.041780587,-0.019099621,-0.021683881,-0.025775978,0.003244297,-0.006621594,-0.043836556
0.020050954,0.018553695,0.043503977,0.014679031,0.053899787,0.03400667,0.040829655,0.03762621,0.047261138,0.039176654,0.000899458,0.049073596,0.013168191,0.018539501,0.03441745,0.034454904,0.011103652,0.0055865,0.012570421,-0.000539086,0.016746122,0.029850319,0.018234823,0.017467713,-0.002527703,-0.030956028,0.009377862,0.028911669,0.004990161,0.06739873
-0.011536182,-0.009402951,0.003273923,-0.009392057,-0.017917005,0.001029381,-0.011753724,-0.002666947,-0.003638085,0.003123895,-0.031420313,0.014644429,-0.004770245,-0.009422239,0.000278986,0.001097106,0.002193896,-0.016593559,-0.047125217,-0.008206827,-0.002999775,-0.035510328,-0.009476078,-0.007845903,-0.003999069,-0.030167118,-0.008569357,-0.023547016,-0.04734478,-0.029727494
-0.027956743,-0.007291923,-0.008608044,-0.037066292,0.051763024,-0.015360616,-0.01552861,-0.021357547,-0.0575287,-0.041861765,-0.030421602,0.017802391,-0.014525536,0.002617898,0.022264931,-0.041353054,-0.017299786,-0.0436612,-0.02482622,-0.023827996,-0.01603084,-0.022253893,-0.006050035,-0.014134918,-0.016045704,-0.017418543,-0.010925058,-0.02075344,-0.06307845,-0.028198864
-2.50E-05,0.002942159,-0.053509694,-0.07063118,0.024444904,-0.003154067,-0.024870317,-0.05140979,-0.006665838,-0.044776298,-0.09740416,0.02048714,-0.08053553,-0.02344689,0.009140629,0.009590763,-0.007343092,-0.054436825,-0.07235972,-0.06889143,-0.03162533,-0.09347714,0.044264767,-0.041849975,0.005052498,-0.03743811,-0.009275969,-0.035858594,-0.06732304,-0.050389424
0.043061424,0.008195091,-0.011590874,-0.03298559,0.13729945,0.12569207,-0.006661404,-0.03918779,0.07352711,0.051077444,0.001414335,0.030293373,-0.014539714,0.03918013,0.018368253,0.043977857,0.10780058,0.04038032,0.03243375,-0.001649569,0.02562216,0.02292289,-0.011195339,0.016048824,0.06339466,0.039933495,0.06654004,0.046110824,-0.020660423,0.000304317
0.05734437,0.049094528,-0.007461773,-0.012901637,0.027514346,0.038209483,0.024134908,0.001654751,0.06120506,0.01401418,-0.013265215,0.017915789,0.00183664,0.054428205,0.02436456,0.023830697,0.06850611,0.03752231,-0.009144959,0.036971867,0.041592963,0.005492088,0.029232653,0.039558966,0.075123444,0.009845516,0.04260015,0.034687743,0.007144854,-0.004866971
0.09117735,0.1057508,0.030851023,0.050646286,0.11704244,0.1024738,0.018445954,0.03904174,0.13309123,0.08448862,0.054545175,0.0994857,0.05869515,0.11251887,0.042268302,0.0793475,0.090104595,0.051206876,0.04083327,0.07599297,0.06827026,0.009869296,0.036681145,0.07794349,0.07614496,0.06951465,0.080924086,0.026800107,0.01338732,0.042892385
0.039407775,0.058202,-0.019570123,-0.004301238,0.04298903,0.017763045,-0.011213315,0.002752228,0.034738872,0.025548568,0.000251221,0.009693587,0.008727944,0.02993629,-0.015522978,0.009309441,0.08512543,0.030235462,-0.048931014,0.056334514,0.041564893,0.008731482,-0.021972999,0.031389087,0.09458897,0.055497374,0.071811214,0.020666009,0.001508905,-0.07757211
0.08780701,0.14097656,0.055942386,0.051691122,0.12233606,0.10483572,0.08090662,0.049032286,0.109936275,0.094507664,0.053830612,0.09118542,0.046735805,0.1445228,0.08084177,0.09790459,0.11534202,0.09320089,0.055865314,0.10494196,0.08075953,0.09391657,0.090586975,0.059644196,0.15508851,0.10449195,0.12136934,0.09094751,0.07932154,0.0761896
0.04974866,0.060288712,-0.007834761,0.02954636,-0.005707271,0.06839582,0.02501633,0.032533605,0.10152493,0.0834565,0.015491457,0.01561745,0.026188787,0.043278363,0.007401227,0.068240836,0.081995465,0.05900946,0.004923476,0.05587331,0.03445345,0.04095437,0.008129669,0.043952364,0.06596196,0.025586119,0.0553316,0.03186778,0.087725595,0.021803815
0.01717273,0.018480267,0.01999205,0.025987307,0.010663569,0.036349747,0.005607397,0.014607928,0.028216107,0.021710748,0.018522875,0.006809364,0.008834391,0.024693266,-0.004153469,0.009039186,0.026087094,0.037790727,0.013145338,0.03909047,0.019905195,0.032535776,0.002688185,0.0242866,0.030694988,0.028974079,0.020443602,0.024090117,0.02121366,0.013920588
0.003074195,0.023360789,0.014526914,0.029385887,0.005984528,0.003748628,-0.001424123,0.00058274,-0.010318835,0.004546115,-0.017125145,0.026442874,0.033468906,0.02830897,0.006781741,0.019886991,0.0106782,0.013001293,-0.03252608,0.02822471,0.013160525,-0.001946028,0.000762665,0.008591911,0.003843172,0.01550091,0.012700899,-0.015724927,0.02165669,0.000932695
